date,period,n_stocks,rank_ic,rank_ic_pval,pearson_ic
2025-06-03,1,711,-0.13166328694458415,0.00043170349148051045,-0.006805331233857578
2025-06-03,3,711,-0.2224385787045936,2.0214457789829025e-09,-0.11297400916888607
2025-06-03,5,711,-0.07647669589044917,0.041488221740541856,-0.02685709772882753
2025-06-03,10,711,0.045846041918485424,0.22210241506445721,0.05102417847866936
2025-06-03,20,711,-0.06261370931639221,0.09526253571480942,-0.02360490440055709
2025-06-17,1,711,-0.1888573633570133,3.922946571149859e-07,-0.14113302458266128
2025-06-17,3,711,-0.011943639718423217,0.7505432241568597,0.0062679686798917215
2025-06-17,5,711,-0.16406078899048793,1.0988876147095254e-05,-0.1048005517306685
2025-06-17,10,711,-0.20111967872771674,6.348494680124725e-08,-0.12965304375925157
2025-06-17,20,711,-0.11593010122810656,0.0019599544345134975,-0.07784069339360948
2025-07-01,1,711,0.23875991453709627,1.1279590098903667e-10,0.2157617989376499
2025-07-01,3,711,0.14674483469378613,8.591033167758263e-05,0.11921389201999653
2025-07-01,5,711,0.15564267497136305,3.069172039873801e-05,0.1285912780702992
2025-07-01,10,711,0.10057506905619805,0.007277285380431493,0.05194557657950346
2025-07-01,20,711,0.026763485385399678,0.476149539348396,0.026796256894539922
2025-07-15,1,711,-0.19144903509263614,2.695550583858779e-07,-0.1500656689637872
2025-07-15,3,711,-0.10293466962097089,0.00601099209937891,-0.09284558867711779
2025-07-15,5,711,0.01936920343978709,0.6061258669455011,0.0030155106658968046
2025-07-15,10,711,0.06098325225348862,0.10421705675427387,0.05648273372008031
2025-07-15,20,711,0.004791308787314344,0.8985176128060282,0.019189750638044702
2025-07-29,1,711,0.03484244628688631,0.35355993421087917,0.049349674418845586
2025-07-29,3,711,-0.04260270857578527,0.25658495586463087,-0.020779416196565162
2025-07-29,5,711,-0.08675716759585551,0.0206876396994426,-0.0708995147985667
2025-07-29,10,711,-0.08915968607833298,0.017408703383381324,-0.09350639869436408
2025-07-29,20,711,0.01852540359494472,0.6219098985941998,-0.05184422286729351
2025-08-12,1,711,0.005502036526662536,0.8835641988344866,-0.032518463763110475
2025-08-12,3,711,0.026152654926959864,0.48627745278983625,-0.0011345070921490916
2025-08-12,5,711,0.02644740019228882,0.4813759533966573,-0.014139319588824133
2025-08-12,10,711,0.057143437594286396,0.12794169294886654,0.005139225281527196
2025-08-12,20,711,-0.013851985819639435,0.7123325401260329,-0.06552670432142058
2025-08-26,1,711,-0.05629108883875976,0.1337370840925257,-0.09550248971503483
2025-08-26,3,711,-0.08135992264838364,0.03006686492150324,-0.0982134845550276
2025-08-26,5,711,-0.04846071173008276,0.19681832479049802,-0.0690898668205973
2025-08-26,10,711,0.02138714421425207,0.5691247501645538,-0.0005684345639798097
2025-08-26,20,711,-0.10991299279436864,0.0033406103930184784,-0.07874000439765341
2025-09-09,1,712,-0.1389373338446799,0.00020013376810344328,-0.050177348639965084
2025-09-09,3,712,-0.14217778464280767,0.00014096776295020985,-0.07582713897561777
2025-09-09,5,712,-0.14899986252691563,6.576031165564726e-05,-0.10341426308771758
2025-09-09,10,712,-0.1503373867395006,5.640568720114646e-05,-0.06857844677671768
2025-09-09,20,712,-0.10206022939918144,0.0064176578543981766,-0.058094660993097416
2025-09-23,1,712,-0.042483613932228825,0.2575824806702742,-0.04718572809512872
2025-09-23,3,712,-0.01005326840573249,0.7888608967179641,-0.02646380402858738
2025-09-23,5,712,-0.00792325092063789,0.832847829325741,-0.026708427803526155
2025-09-23,10,712,-0.015665033244258792,0.6764689397296657,-0.04437730014839746
2025-09-23,20,712,-0.013232290127159435,0.7244808693107201,-0.02951872910073259
2025-10-15,1,713,0.11226128056415043,0.0026835161264791253,0.08726161850972937
2025-10-15,3,713,0.12321137647505793,0.0009779501418420804,0.08637837975438759
2025-10-15,5,713,0.03583347511202221,0.3393473303300255,-0.025540896828981342
2025-10-15,10,713,-0.022974454881414707,0.5402270115871273,-0.10895871577156312
2025-10-15,20,713,0.04304822410550677,0.2509720240371323,-0.010698713645785058
2025-10-29,1,714,0.14597844671763324,9.047437541836137e-05,0.048454563413268724
2025-10-29,3,714,0.10762534434283556,0.003987347115561424,0.07700626102488023
2025-10-29,5,714,0.2327463715862903,3.0756752272546734e-10,0.16446358425919763
2025-10-29,10,714,0.24163656373329104,6.045938447374502e-11,0.1957139319915276
